			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 1	248.500	95.024	2982.000	106.000	466.000	12	
ROI 1	181.333	75.563	2176.000	90.000	354.000	12	
ROI 1	150.083	54.718	1801.000	83.000	283.000	12	
ROI 1	147.083	52.758	1765.000	74.000	228.000	12	
ROI 1	158.083	55.628	1897.000	88.000	259.000	12	
ROI 1	184.500	82.403	2214.000	75.000	344.000	12	
ROI 1	209.583	95.911	2515.000	97.000	379.000	12	
ROI 1	247.667	58.069	2972.000	165.000	375.000	12	
ROI 1	278.083	58.257	3337.000	192.000	412.000	12	
ROI 1	309.917	60.907	3719.000	241.000	406.000	12	
ROI 1	345.667	47.431	4148.000	268.000	404.000	12	
ROI 1	365.250	59.696	4383.000	283.000	457.000	12	
ROI 1	379.583	77.570	4555.000	271.000	525.000	12	
ROI 1	411.083	58.883	4933.000	299.000	502.000	12	
ROI 1	423.333	67.391	5080.000	325.000	566.000	12	
ROI 1	429.167	62.088	5150.000	338.000	559.000	12	
ROI 1	414.500	71.333	4974.000	296.000	580.000	12	
ROI 1	429.000	58.138	5148.000	343.000	515.000	12	
ROI 1	458.000	61.326	5496.000	377.000	590.000	12	
ROI 1	437.417	67.379	5249.000	371.000	592.000	12	
ROI 1	429.083	54.191	5149.000	340.000	530.000	12	
ROI 1	453.000	55.148	5436.000	374.000	555.000	12	
ROI 1	451.417	56.678	5417.000	397.000	569.000	12	
ROI 1	446.917	71.359	5363.000	376.000	617.000	12	
ROI 1	448.167	69.840	5378.000	346.000	586.000	12	
ROI 1	437.333	56.506	5248.000	372.000	574.000	12	
ROI 1	462.833	54.072	5554.000	381.000	567.000	12	
ROI 1	452.917	49.253	5435.000	392.000	547.000	12	
ROI 1	460.500	66.819	5526.000	377.000	572.000	12	
ROI 1	474.833	66.877	5698.000	405.000	630.000	12	
ROI 1	480.417	67.202	5765.000	373.000	594.000	12	
ROI 1	460.000	73.190	5520.000	359.000	624.000	12	
ROI 1	478.083	65.705	5737.000	396.000	611.000	12	
ROI 1	482.667	52.109	5792.000	422.000	600.000	12	
ROI 1	485.833	78.781	5830.000	377.000	638.000	12	
ROI 1	491.333	69.056	5896.000	368.000	643.000	12	
ROI 1	497.333	66.829	5968.000	408.000	640.000	12	
ROI 1	476.083	67.655	5713.000	382.000	658.000	12	
ROI 1	476.417	68.109	5717.000	388.000	607.000	12	
ROI 1	471.083	51.812	5653.000	388.000	572.000	12	
ROI 1	482.333	62.020	5788.000	404.000	599.000	12	
ROI 1	486.667	67.177	5840.000	400.000	634.000	12	
ROI 1	499.750	62.581	5997.000	403.000	627.000	12	
ROI 1	476.583	70.430	5719.000	379.000	655.000	12	
ROI 1	488.833	90.232	5866.000	375.000	699.000	12	
ROI 1	480.917	59.381	5771.000	382.000	599.000	12	
ROI 1	501.000	77.321	6012.000	388.000	663.000	12	
ROI 1	507.000	46.889	6084.000	454.000	612.000	12	
